"Title","LFS: ILO unemployment rate: London: All: %: SA"
"CDID","YCNI"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","14-12-2021"
"Next release","18 January 2022"
"Important notes",
"1992","12.4"
"1993","13.8"
"1994","12.8"
"1995","11.9"
"1996","11.4"
"1997","9.6"
"1998","8.1"
"1999","7.4"
"2000","7.2"
"2001","6.7"
"2002","6.8"
"2003","7.1"
"2004","7.1"
"2005","7.0"
"2006","7.8"
"2007","6.9"
"2008","7.2"
"2009","9.0"
"2010","9.3"
"2011","9.9"
"2012","9.2"
"2013","8.7"
"2014","6.9"
"2015","6.3"
"2016","5.7"
"2017","5.3"
"2018","4.7"
"2019","4.4"
"2020","5.7"
"1992 Q2","12.4"
"1992 Q3","12.6"
"1992 Q4","12.5"
"1993 Q1","13.6"
"1993 Q2","13.5"
"1993 Q3","13.7"
"1993 Q4","14.3"
"1994 Q1","13.8"
"1994 Q2","13.2"
"1994 Q3","12.3"
"1994 Q4","11.9"
"1995 Q1","12.0"
"1995 Q2","12.1"
"1995 Q3","11.9"
"1995 Q4","11.6"
"1996 Q1","11.3"
"1996 Q2","11.6"
"1996 Q3","11.5"
"1996 Q4","11.1"
"1997 Q1","10.3"
"1997 Q2","9.3"
"1997 Q3","9.3"
"1997 Q4","9.3"
"1998 Q1","8.2"
"1998 Q2","8.6"
"1998 Q3","7.9"
"1998 Q4","7.7"
"1999 Q1","7.7"
"1999 Q2","7.4"
"1999 Q3","7.4"
"1999 Q4","7.0"
"2000 Q1","7.6"
"2000 Q2","7.3"
"2000 Q3","6.9"
"2000 Q4","6.8"
"2001 Q1","6.5"
"2001 Q2","6.2"
"2001 Q3","6.6"
"2001 Q4","7.3"
"2002 Q1","6.9"
"2002 Q2","6.8"
"2002 Q3","7.1"
"2002 Q4","6.6"
"2003 Q1","7.1"
"2003 Q2","7.2"
"2003 Q3","7.2"
"2003 Q4","6.9"
"2004 Q1","7.0"
"2004 Q2","7.0"
"2004 Q3","7.3"
"2004 Q4","7.2"
"2005 Q1","6.7"
"2005 Q2","7.1"
"2005 Q3","6.7"
"2005 Q4","7.4"
"2006 Q1","7.7"
"2006 Q2","7.7"
"2006 Q3","8.0"
"2006 Q4","7.8"
"2007 Q1","7.2"
"2007 Q2","7.3"
"2007 Q3","6.2"
"2007 Q4","6.8"
"2008 Q1","6.9"
"2008 Q2","6.8"
"2008 Q3","7.5"
"2008 Q4","7.4"
"2009 Q1","8.3"
"2009 Q2","9.1"
"2009 Q3","9.2"
"2009 Q4","9.3"
"2010 Q1","9.2"
"2010 Q2","9.5"
"2010 Q3","9.2"
"2010 Q4","9.2"
"2011 Q1","9.2"
"2011 Q2","9.9"
"2011 Q3","10.2"
"2011 Q4","10.4"
"2012 Q1","10.0"
"2012 Q2","8.9"
"2012 Q3","9.1"
"2012 Q4","8.8"
"2013 Q1","8.7"
"2013 Q2","8.8"
"2013 Q3","9.0"
"2013 Q4","8.2"
"2014 Q1","7.8"
"2014 Q2","7.0"
"2014 Q3","6.3"
"2014 Q4","6.5"
"2015 Q1","6.1"
"2015 Q2","6.5"
"2015 Q3","6.4"
"2015 Q4","6.3"
"2016 Q1","5.7"
"2016 Q2","5.8"
"2016 Q3","5.6"
"2016 Q4","5.6"
"2017 Q1","6.0"
"2017 Q2","5.4"
"2017 Q3","4.9"
"2017 Q4","5.0"
"2018 Q1","4.9"
"2018 Q2","4.9"
"2018 Q3","4.6"
"2018 Q4","4.5"
"2019 Q1","4.4"
"2019 Q2","4.5"
"2019 Q3","4.5"
"2019 Q4","4.3"
"2020 Q1","4.8"
"2020 Q2","4.8"
"2020 Q3","6.1"
"2020 Q4","7.2"
"2021 Q1","6.9"
"2021 Q2","6.4"
"2021 Q3","5.6"
"1992 APR","12.3"
"1992 MAY","12.4"
"1992 JUN","12.4"
